"time", "liberal percentage", "conservative percentage", "liberal positive", "liberal negative", "conservative positive", "conservative negative"
"22:06:24", "50.983675", "49.016325", "27692.000000", "-25623.000000", "5122.000000", "-4287.000000"
"22:06:54", "62.237179", "37.762821", "22463.000000", "-10410.000000", "7263.000000", "-6664.000000"
"22:07:24", "69.424890", "30.575110", "25847.000000", "-11148.000000", "3706.000000", "-7881.000000"
"22:07:54", "89.130323", "10.869677", "113574.000000", "-11106.000000", "3726.000000", "-8047.000000"
"22:08:24", "93.027365", "6.972635", "117419.000000", "-3789.000000", "5524.000000", "-6833.000000"
"22:08:54", "99.507655", "0.492345", "1163696.000000", "-3356.000000", "2416.000000", "-2880.000000"
"22:09:25", "98.553820", "1.446180", "1165108.000000", "-14944.000000", "2202.000000", "-3352.000000"
"22:09:55", "98.423003", "1.576997", "1072870.000000", "-14782.000000", "2462.000000", "-3357.000000"
"22:10:25", "59.746383", "40.253617", "21548.000000", "-16143.000000", "1189.000000", "-4177.000000"
"22:10:55", "93.444251", "6.555749", "17044.000000", "-14265.000000", "2501.000000", "-221935.000000"
"22:11:25", "89.769177", "10.230823", "11496.000000", "-4592.000000", "23181.000000", "-232195.000000"
"22:11:55", "89.300375", "10.699625", "10446.000000", "-5122.000000", "23940.000000", "-232109.000000"
"22:12:25", "80.708971", "19.291029", "10388.000000", "-33787.000000", "24181.000000", "-232136.000000"
"22:12:55", "33.690547", "66.309453", "14636.000000", "-33129.000000", "31532.000000", "-18217.000000"
"22:13:26", "41.988603", "58.011397", "29304.000000", "-45875.000000", "11337.000000", "-12106.000000"
"22:13:56", "71.858664", "28.141336", "128046.000000", "-45142.000000", "9876.000000", "-12442.000000"
"22:14:26", "85.251322", "14.748678", "130216.000000", "-15008.000000", "10150.000000", "-15204.000000"
"22:14:56", "86.190990", "13.809010", "130287.000000", "-20049.000000", "3121.000000", "-14332.000000"
"22:15:26", "71.709710", "28.290290", "30621.000000", "-7681.000000", "7830.000000", "-8696.000000"
"22:15:56", "73.711541", "26.288459", "39337.000000", "-8788.000000", "8121.000000", "-8075.000000"
"22:16:26", "91.682050", "8.317950", "136551.000000", "-6317.000000", "6435.000000", "-4004.000000"
"22:16:56", "92.787417", "7.212583", "128771.000000", "-2742.000000", "7447.000000", "-2307.000000"
"22:17:26", "8.014987", "91.985013", "125852.000000", "-2490.000000", "1497287.000000", "-4829.000000"
"22:17:56", "44.236615", "55.763385", "1186386.000000", "-3542.000000", "1498055.000000", "-4818.000000"
"22:18:26", "41.999015", "58.000985", "1083914.000000", "-2724.000000", "1499023.000000", "-3514.000000"
"22:18:56", "42.307058", "57.692942", "1095837.000000", "-2608.000000", "1497686.000000", "-4350.000000"
"22:19:28", "42.443492", "57.556508", "1103885.000000", "-2136.000000", "1499393.000000", "-3377.000000"
"22:20:09", "98.472706", "1.527294", "1100597.000000", "-12604.000000", "4494.000000", "-1801.000000"
"22:20:40", "71.546642", "28.453358", "44710.000000", "-14765.000000", "3963.000000", "-2382.000000"
"22:21:10", "62.663339", "37.336661", "32059.000000", "-17005.000000", "3939.000000", "-3092.000000"
