"time", "liberal percentage", "conservative percentage", "liberal positive", "liberal negative", "conservative positive", "conservative negative"
"11:28:38", "99.384338", "0.615662", "57811.000000", "-1842.000000", "4861.000000", "-1024232.000000"
"11:28:53", "62.931435", "37.068565", "101805.000000", "-79955.000000", "19722.000000", "-67417.000000"
"16:58:31", "12.675461", "87.324539", "1492.000000", "-53688.000000", "0.000000", "-6301.000000"
"16:58:41", "0.463478", "99.536522", "863.000000", "-185338.000000", "0.000000", "0.000000"
"16:58:51", "36.094371", "63.905629", "1913.000000", "-4984.000000", "0.000000", "-902.000000"
"16:59:01", "87.281271", "12.718729", "4336553.000000", "-632040.000000", "19.000000", "-902.000000"
"16:59:11", "87.283551", "12.716449", "4347738.000000", "-634291.000000", "59.000000", "-6333.000000"
"16:59:21", "99.046590", "0.953410", "689949.000000", "-6643.000000", "0.000000", "-170.000000"
"16:59:31", "51.494342", "48.505658", "671343.000000", "-632539.000000", "0.000000", "-170.000000"
"16:59:41", "50.264630", "49.735370", "6343.000000", "-6524.000000", "6632.000000", "-6953.000000"
"16:59:51", "47.433669", "52.566331", "103437.000000", "-116678.000000", "5821.000000", "-7101.000000"
"17:00:01", "50.825339", "49.174661", "112810.000000", "-109391.000000", "0.000000", "-253.000000"
"17:00:11", "34.433173", "65.566827", "5454.000000", "-19825.000000", "22124.000000", "-16576.000000"
"17:24:09", "93.479549", "6.520451", "1577.000000", "0.000000", "110.000000", "0.000000"
"17:46:18", "47.840973", "52.159027", "2171.000000", "-37263.000000", "17734.000000", "-48273.000000"
"17:46:28", "9.420614", "90.579386", "1961.000000", "-40391.000000", "69.000000", "-2247.000000"
"17:46:38", "8.846950", "91.153050", "4233.000000", "-43614.000000", "0.000000", "0.000000"
"17:46:48", "13.390717", "86.609283", "932.000000", "-47399.000000", "3917.000000", "-7002.000000"
"17:46:58", "84.540286", "15.459714", "1461.000000", "-2908.000000", "3917.000000", "-35861.000000"
"17:47:08", "2.940838", "97.059162", "1461.000000", "-94829.000000", "6460.000000", "-1608.000000"
"17:47:18", "1.994448", "98.005552", "454.000000", "-93998.000000", "7327.000000", "-1608.000000"
"17:47:28", "44.164648", "55.835352", "6855.000000", "-20755.000000", "908.000000", "-10280.000000"
"17:47:38", "93.563116", "6.436884", "44057.000000", "-2200.000000", "831.000000", "0.000000"
"17:47:48", "11.317072", "88.682928", "45801.000000", "-678.000000", "382348.000000", "-3078.000000"
"17:47:58", "2.625144", "97.374856", "9671.000000", "-3508.000000", "415014.000000", "-1612.000000"
"17:48:08", "44.971347", "55.028653", "7843.000000", "-20796.000000", "1194.000000", "-10128.000000"
"17:48:18", "16.777385", "83.222615", "345.000000", "-25879.000000", "8948.000000", "-6676.000000"
"17:48:28", "1.147300", "98.852700", "2748.000000", "-411613.000000", "668.000000", "-2037.000000"
"17:48:38", "89.621149", "10.378851", "218.000000", "-1115.000000", "0.000000", "-9410.000000"
"17:48:48", "28.391536", "71.608464", "2186.000000", "-3208.000000", "2308.000000", "-1.000000"
"17:48:58", "10.219436", "89.780564", "2607.000000", "-9102.000000", "13810.000000", "-1.000000"
"17:49:08", "10.926071", "89.073929", "0.000000", "-7200.000000", "12162.000000", "-2375.000000"
"17:49:18", "43.661789", "56.338211", "7208.000000", "-2607.000000", "10446.000000", "-2908.000000"
"17:49:28", "97.615376", "2.384624", "414379.000000", "-13442.000000", "28.000000", "-137020.000000"
"17:49:38", "98.562264", "1.437736", "803852.000000", "-10805.000000", "927.000000", "-421.000000"
"17:49:48", "6.809730", "93.190270", "71895.000000", "-5.000000", "989630.000000", "-421.000000"
"17:49:58", "7.855091", "92.144909", "84732.000000", "-5484.000000", "988473.000000", "0.000000"
"17:50:08", "99.434683", "0.565317", "1550568.000000", "-8818.000000", "0.000000", "-446.000000"
"17:50:18", "92.398662", "7.601338", "842995.000000", "-67861.000000", "1519.000000", "-359.000000"
"17:57:18", "86.782049", "13.217951", "436.000000", "-863.000000", "0.000000", "-5230.000000"
"17:57:28", "2.336510", "97.663490", "10.000000", "-224042.000000", "0.000000", "-5350.000000"
"17:57:38", "76.096704", "23.903296", "74909.000000", "-24095.000000", "0.000000", "-1798.000000"
"17:57:48", "71.202056", "28.797944", "76373.000000", "-31602.000000", "0.000000", "-1762.000000"
"17:57:58", "44.287681", "55.712319", "2865.000000", "-6476.000000", "0.000000", "-2283.000000"
"17:58:08", "83.995834", "16.004166", "14265.000000", "-1507.000000", "1259.000000", "-252.000000"
"17:58:18", "25.769321", "74.230679", "2180.000000", "-4945.000000", "1375.000000", "-14.000000"
"17:58:28", "27.569375", "72.430625", "245.000000", "-7980.000000", "33.000000", "-2805.000000"
"17:58:38", "8.041237", "91.958763", "30.000000", "0.000000", "446.000000", "-9.000000"
"17:58:48", "71.802526", "28.197474", "4816.000000", "-3238.000000", "446.000000", "-4565.000000"
"17:58:58", "24.909467", "75.090533", "1533.000000", "-4735.000000", "9780.000000", "-3282.000000"
"17:59:08", "0.402179", "99.597821", "1388.000000", "-381439.000000", "21728.000000", "-240.000000"
"17:59:18", "2.168199", "97.831801", "4198.000000", "-381790.000000", "68204.000000", "-5775.000000"
