"time", "liberal percentage", "conservative percentage", "liberal positive", "liberal negative", "conservative positive", "conservative negative"
"22:19:39", "82.802636", "17.197364", "969033.000000", "-152044.000000", "56397.000000", "-34578.000000"
"22:20:09", "98.170828", "1.829172", "2033711.000000", "-34525.000000", "3751.000000", "-20544.000000"
"22:20:39", "98.415453", "1.584547", "8736222.000000", "-140356.000000", "632.000000", "-20477.000000"
"22:35:39", "83.406448", "16.593552", "1647727.000000", "-326694.000000", "1403.000000", "-1432.000000"
"22:36:09", "96.081919", "3.918081", "3120201.000000", "-135589.000000", "695.000000", "-221850.000000"
"22:36:39", "95.837838", "4.162162", "3818598.000000", "-162848.000000", "4955.000000", "-45230.000000"
