"time", "liberal percentage", "conservative percentage", "liberal positive", "liberal negative", "conservative positive", "conservative negative"
"11:15:36", "99.757379", "0.242621", "16275.000000", "-3271.000000", "6966.000000", "-4192828.000000"
"11:16:06", "99.336204", "0.663796", "7621.000000", "-11120.000000", "11515.000000", "-3379679.000000"
"11:16:36", "95.344309", "4.655691", "25514.000000", "-124848.000000", "11408.000000", "-2764885.000000"
"11:17:07", "95.692801", "4.307199", "24436.000000", "-127416.000000", "8047.000000", "-2985138.000000"
"11:17:37", "95.017542", "4.982458", "24237.000000", "-121715.000000", "3261.000000", "-2359107.000000"
"11:18:07", "98.678334", "1.321666", "17708.000000", "-15645.000000", "4915.000000", "-1517344.000000"
"11:18:37", "98.670406", "1.329594", "185150.000000", "-14658.000000", "8329.000000", "-1520736.000000"
"11:19:07", "91.321491", "8.678509", "212091.000000", "-132867.000000", "11148.000000", "-1303338.000000"
"11:19:37", "91.209083", "8.790917", "351127.000000", "-126236.000000", "12595.000000", "-1089297.000000"
"11:20:08", "98.053466", "1.946534", "166018.000000", "-10318.000000", "14684.000000", "-1093417.000000"
"11:20:38", "98.340246", "1.659754", "99337.000000", "-7882.000000", "19522.000000", "-1524347.000000"
"11:21:08", "96.082504", "3.917496", "9844.000000", "-8864.000000", "18184.000000", "-653549.000000"
"11:21:38", "96.731824", "3.268176", "222533.000000", "-28199.000000", "16146.000000", "-1089995.000000"
"11:22:08", "94.744204", "5.255796", "247519.000000", "-40894.000000", "21405.000000", "-875521.000000"
"11:22:38", "95.863751", "4.136249", "252894.000000", "-36341.000000", "12419.000000", "-877192.000000"
"11:23:08", "99.153530", "0.846470", "44320.000000", "-939.000000", "10658.000000", "-1314125.000000"
"11:23:38", "99.150962", "0.849038", "574851.000000", "-13100.000000", "6850.000000", "-1754917.000000"
"11:24:08", "98.636820", "1.363180", "995044.000000", "-24955.000000", "7119.000000", "-1325763.000000"
"11:24:38", "98.367344", "1.632656", "965370.000000", "-26590.000000", "4164.000000", "-887555.000000"
"11:25:08", "76.829979", "23.170021", "181039.000000", "-5351.000000", "183031.000000", "-443621.000000"
"11:25:38", "76.771025", "23.228975", "179104.000000", "-7809.000000", "180086.000000", "-441883.000000"
"11:26:08", "86.959944", "13.040056", "188863.000000", "-10015.000000", "51439.000000", "-220954.000000"
"11:26:38", "45.918517", "54.081483", "32624.000000", "-10483.000000", "30017.000000", "-1763.000000"
"11:27:08", "93.381264", "6.618736", "23363.000000", "-12934.000000", "20198.000000", "-444084.000000"
"11:27:38", "98.637600", "1.362400", "38917.000000", "-9666.000000", "359.000000", "-686892.000000"
"11:28:08", "98.619998", "1.380002", "82354.000000", "-10421.000000", "428.000000", "-692955.000000"
"11:28:38", "95.604883", "4.395117", "349808.000000", "-6201.000000", "10257.000000", "-8195.000000"
"11:29:08", "96.249537", "3.750463", "341584.000000", "-7263.000000", "15222.000000", "-235457.000000"
"11:29:38", "97.329364", "2.670636", "341693.000000", "-2961.000000", "12665.000000", "-227785.000000"
"11:30:08", "96.598432", "3.401568", "24010.000000", "-2480.000000", "6867.000000", "-241428.000000"
"11:30:38", "87.560582", "12.439418", "31573.000000", "-3088.000000", "3380.000000", "-13955.000000"
"11:31:08", "69.476129", "30.523871", "16740.000000", "-3651.000000", "3708.000000", "-10.000000"
"11:31:38", "93.593165", "6.406835", "13517.000000", "-3585.000000", "12546.000000", "-222130.000000"
"11:32:08", "99.749990", "0.250010", "5668079.000000", "-1376.000000", "13387.000000", "-222120.000000"
"11:32:38", "99.712636", "0.287364", "5708691.000000", "-1768.000000", "14684.000000", "0.000000"
"11:33:08", "99.692635", "0.307365", "5426419.000000", "-3589.000000", "13178.000000", "-11885.000000"
"11:33:38", "53.636548", "46.363452", "27798.000000", "-1982.000000", "32320.000000", "-11885.000000"
"11:34:08", "88.388565", "11.611435", "37085.000000", "-2327.000000", "33346.000000", "-234465.000000"
"11:34:38", "72.334191", "27.665809", "42085.000000", "-10369.000000", "91032.000000", "-223035.000000"
"11:35:08", "75.128302", "24.871698", "36268.000000", "-17879.000000", "68143.000000", "-223573.000000"
"11:35:38", "1.050134", "98.949866", "4556.000000", "-524875.000000", "66016.000000", "-1715.000000"
"11:36:08", "43.249833", "56.750167", "392956.000000", "-515666.000000", "2198.000000", "-1713.000000"
"11:36:38", "44.126134", "55.873866", "395469.000000", "-506453.000000", "2026.000000", "-6100.000000"
"11:37:08", "99.096477", "0.903523", "400055.000000", "-1614.000000", "2115.000000", "-8934.000000"
