"time", "liberal percentage", "conservative percentage", "liberal positive", "liberal negative", "conservative positive", "conservative negative"
"13:50:57", "79.743148", "20.256852", "3730.000000", "-5565.000000", "8205.000000", "-50477.000000"
"13:51:27", "33.598323", "66.401677", "27887.000000", "-101819.000000", "102823.000000", "-75659.000000"
"13:51:57", "82.800092", "17.199908", "1028999.000000", "-122756.000000", "105725.000000", "-70905.000000"
"13:52:27", "95.438731", "4.561269", "1010975.000000", "-30044.000000", "20038.000000", "-36927.000000"
"13:52:57", "9.551951", "90.448049", "20014.000000", "-511435.000000", "19183.000000", "-36023.000000"
"13:53:31", "64.798355", "35.201645", "916901.000000", "-506804.000000", "11781.000000", "-37698.000000"
"13:54:01", "64.072938", "35.927062", "916410.000000", "-506988.000000", "10089.000000", "-5754.000000"
"13:54:31", "21.551567", "78.448433", "188639.000000", "-515271.000000", "198900.000000", "-7560.000000"
"13:55:01", "82.694073", "17.305927", "1185500.000000", "-12713.000000", "293758.000000", "-278931.000000"
"13:55:31", "73.190973", "26.809027", "63130.000000", "-119068.000000", "130379.000000", "-617882.000000"
"13:56:01", "30.276078", "69.723922", "36362.000000", "-214624.000000", "31765.000000", "-70627.000000"
"13:56:31", "89.943927", "10.056073", "1008714.000000", "-111001.000000", "1965.000000", "-1681.000000"
"13:57:01", "89.966861", "10.033139", "1022441.000000", "-114260.000000", "0.000000", "-2125.000000"
"13:57:31", "43.335232", "56.664768", "62477.000000", "-119984.000000", "7378.000000", "-34925.000000"
"13:58:01", "60.049459", "39.950541", "103710.000000", "-113124.000000", "8038.000000", "-78408.000000"
"13:58:31", "95.123306", "4.876694", "1958872.000000", "-100504.000000", "4182.000000", "-83101.000000"
"13:59:01", "99.379855", "0.620145", "1947648.000000", "-7086.000000", "5312.000000", "-39165.000000"
"13:59:31", "89.163454", "10.836546", "1092458.000000", "-121454.000000", "15272.000000", "-32528.000000"
"14:44:12", "98.848909", "1.151091", "14698.000000", "-3741.000000", "9052.000000", "-1083889.000000"
"14:44:42", "96.056258", "3.943742", "26300.000000", "-10770.000000", "20641.000000", "-738766.000000"
"14:45:12", "90.588063", "9.411937", "383324.000000", "-24682.000000", "56340.000000", "-396497.000000"
"14:45:42", "97.214131", "2.785869", "3077770.000000", "-25835.000000", "79556.000000", "-599895.000000"
"14:46:12", "94.696737", "5.303263", "2968144.000000", "-55445.000000", "154012.000000", "-771986.000000"
"14:46:42", "72.781729", "27.218271", "315904.000000", "-51519.000000", "274818.000000", "-556722.000000"
"14:49:34", "20.697931", "79.302069", "48220.084089", "-479533.774730", "120633.470550", "-108424.252286"
"14:50:04", "13.269421", "86.730579", "51588.097179", "-943094.271030", "41108.971773", "-98990.944200"
"14:50:34", "20.912385", "79.087615", "50542.045992", "-594957.543893", "53222.610453", "-120850.059406"
"14:51:04", "29.029419", "70.970581", "160586.994703", "-902780.548676", "17278.655990", "-215749.007246"
"14:51:37", "28.652304", "71.347696", "186997.614865", "-1252559.103673", "9032.814050", "-319641.234825"
"14:52:07", "16.129533", "83.870467", "151248.854734", "-2111138.544801", "22295.045420", "-259042.024065"
"14:52:37", "19.321643", "80.678357", "146910.848060", "-1690341.732141", "26556.416150", "-264268.730660"
"14:53:07", "41.720045", "58.279955", "75844.407322", "-456599.636266", "40856.633510", "-280262.561816"
"14:53:37", "25.541676", "74.458324", "11516.815842", "-937306.209960", "20470.412490", "-317032.356289"
"14:54:07", "22.452089", "77.547911", "8318.709350", "-897499.957580", "20825.031605", "-257559.682132"
"14:54:37", "18.543555", "81.456445", "38583.746031", "-968428.639258", "20273.196554", "-186494.176280"
"14:55:07", "17.432569", "82.567431", "36850.817413", "-536253.504508", "45405.454639", "-85955.591681"
"14:55:37", "88.548764", "11.451236", "9385.212892", "-7734.829600", "19729.470654", "-202987.472728"
"14:56:07", "22.336109", "77.663891", "32615.770715", "-829140.052144", "7638.137779", "-208041.361018"
"14:56:37", "66.470962", "33.529038", "2316871.973451", "-1234985.369082", "6436.016990", "-144232.718564"
"14:59:16", "15.899857", "84.100143", "30978.631096", "-821127.325062", "2925.125375", "-124815.583104"
